Names,Sawai Mansingh Stadium,Himachal Pradesh Cricket Association Stadium,Nehru Stadium,OUTsurance Oval,"MA Chidambaram Stadium, Chepauk",De Beers Diamond Oval,Wankhede Stadium,Barabati Stadium,Subrata Roy Sahara Stadium,M Chinnaswamy Stadium,Saurashtra Cricket Association Stadium,"Rajiv Gandhi International Stadium, Uppal",SuperSport Park,Eden Gardens,Holkar Cricket Stadium,Sheikh Zayed Stadium,New Wanderers Stadium,Maharashtra Cricket Association Stadium,Brabourne Stadium,Feroz Shah Kotla,Dr DY Patil Sports Academy,"Sardar Patel Stadium, Motera",JSCA International Stadium Complex,Kingsmead,"Punjab Cricket Association IS Bindra Stadium, Mohali",Green Park,St George's Park,"Vidarbha Cricket Association Stadium, Jamtha",Dubai International Cricket Stadium,Sharjah Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"Punjab Cricket Association Stadium, Mohali",Newlands,Shaheed Veer Narayan Singh International Stadium,Buffalo Park
AS Rajpoot,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DJ Thornely,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV Ojha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ Haddin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Warne,20,0,0,0,3,2,3,0,0,1,0,4,3,1,0,0,0,0,0,1,1,3,0,5,0,0,0,4,0,0,0,2,4,0,0
Karanveer Singh,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
MV Boucher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Jacobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Muralitharan,1,0,0,0,14,2,3,0,2,13,0,3,1,2,0,0,2,0,2,3,5,0,1,4,0,0,3,0,0,0,0,1,0,0,2
DB Ravi Teja,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS Sandhu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SA Asnodkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD Mascarenhas,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,4,0,0
J Yadav,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Z Khan,3,0,1,0,3,0,5,0,2,26,1,5,0,3,0,1,1,0,8,12,4,0,0,1,1,0,1,0,4,0,1,2,0,4,3
OA Shah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
